RandomSearch,HillClimbing,Genetic,PBIL
0.25325,0.249,0.27975,0.25
0.2575,0.267,0.25,0.25
0.29075,0.28375,0.25075,0.25075
0.25,0.26575,0.27075,0.25
0.25,0.257,0.2775,0.25
0.25025,0.25,0.25,0.25
0.25,0.25175,0.25075,0.25
0.25,0.253,0.25075,0.25
0.26625,0.275,0.25,0.25
0.27125,0.27725,0.2505,0.25
0.2555,0.2565,0.252,0.25
0.27875,0.25,0.26625,0.25
0.25,0.25,0.30175,0.25425
0.31725,0.25,0.25,0.25
0.25,0.24225,0.25,0.25
0.24475,0.25,0.25,0.25675
0.25325,0.25875,0.2515,0.25825
0.25,0.25,0.25,0.25
0.30775,0.26575,0.25,0.25225
0.24375,0.25,0.284,0.2515
0.25,0.26925,0.305,0.25
0.25025,0.28175,0.25075,0.28275
0.2505,0.25,0.25,0.25
0.25275,0.3355,0.25,0.25
0.25,0.3175,0.25,0.25025
0.25,0.25,0.279,0.28625
0.25175,0.30025,0.28725,0.273
0.2865,0.2545,0.283,0.2765
0.27225,0.25,0.25375,0.25
0.282,0.25,0.275,0.25
0.25,0.25,0.25,0.25
0.25,0.271,0.25,0.26425
0.29575,0.27625,0.291,0.3005
0.2965,0.25,0.29875,0.25
0.32225,0.24975,0.25,0.25
0.25,0.254,0.25075,0.29775
0.25125,0.25,0.25,0.25
0.30625,0.25,0.31075,0.257
0.269,0.25,0.325,0.26275
0.2605,0.25,0.25025,0.26575
0.25,0.27025,0.25,0.261
0.25,0.25,0.25,0.25
0.25,0.254,0.25,0.29075
0.25,0.25,0.26575,0.25
0.3025,0.25,0.25,0.27875
0.25,0.25,0.25,0.25
0.27025,0.2545,0.25,0.25
0.25,0.25375,0.25,0.25
0.254,0.25,0.25,0.25675
0.28725,0.255,0.26225,0.28225
