HillClimbing calls 50
Genetic calls 50
    HillClimbing  Genetic
0         0.2749   0.2981
1         0.3002   0.2639
2         0.2742   0.2924
3         0.2836   0.2681
4         0.2817   0.2872
5         0.2724   0.2926
6         0.3012   0.2805
7         0.2824   0.2780
8         0.2870   0.2736
9         0.2763   0.2881
10        0.2869   0.2910
11        0.2775   0.2578
12        0.2751   0.2962
13        0.2965   0.2868
14        0.2828   0.2784
15        0.2861   0.2897
16        0.2754   0.2762
17        0.2837   0.3023
18        0.2801   0.3041
19        0.2993   0.2939
20        0.2776   0.2775
21        0.2993   0.2883
22        0.3061   0.2952
23        0.2658   0.2990
24        0.2723   0.2898
25        0.3027   0.2652
26        0.2935   0.3126
27        0.2861   0.2954
28        0.3005   0.3102
29        0.2911   0.2969
30        0.2922   0.2915
31        0.2732   0.2917
32        0.2986   0.2794
33        0.2874   0.2928
34        0.2931   0.2873
35        0.2902   0.2710
36        0.2788   0.2720
37        0.2646   0.2704
38        0.2907   0.2849
39        0.2883   0.3009
40        0.2835   0.2783
41        0.2910   0.2914
42        0.2942   0.2762
43        0.2814   0.2791
44        0.2806   0.2770
45        0.2700   0.2871
46        0.2974   0.2806
47        0.2999   0.2958
48        0.2827   0.3087
49        0.2904   0.2810
